name,damage,stun,meter
J,0,0,0
HJ,0,0,0
ダッシュ,0,0,0
空中ダッシュ,0,0,0
RC(黄),0,0,25
RC(赤),0,0,50
ブリッツシールド,0,0,25
DAA,0,0,50
一撃必殺準備,0,0,0
5P,0,0,0
5K,0,0,0
5近S,0,0,0
5遠S,0,0,0
5HS,0,0,0
D,0,0,0
2P,0,0,0
2K,0,0,0
2S,0,0,0
2HS,0,0,0
2D,0,0,0
6P,0,0,0
6K,0,0,0
6HS,0,0,0
JP,0,0,0
JK,0,0,0
JS,0,0,0
JHS,0,0,0
JD,0,0,0
DAA,0,0,0
地上投げ,0,0,0
空中投げ,0,0,0
バッドムーン,0,0,0
高速落下,0,0,0
Sダンデムトップ,0,0,0
HSダンデムトップ,0,0,0
ラストシェイカー,0,0,0
ラストシェイカー(連打),0,0,0
アイアンセイバー,0,0,0
前転,0,0,0
前転(再前転),0,0,0
前転(ラストシェイカー),0,0,0
前転(ディジタリス),0,0,0
前転(ダストアタック),0,0,0
Sサイレントフォース,0,0,0
HSサイレントフォース,0,0,0
シークレットガーデン,0,0,0
シークレットガーデン(8追加),0,0,0
シークレットガーデン(2追加),0,0,0
シークレットガーデン(6追加),0,0,0
シークレットガーデン(4追加),0,0,0
ウィンガー,0,0,50
エメラルドレイン,0,0,50
クローミングローズ,0,0,50
アイアンメイデン,0,0,0
