name,damage,stun,meter
5弱P,0,0,0
5中P,0,0,0
5強P,0,0,0
5弱K,0,0,0
5中K,0,0,0
5強K,0,0,0
2弱P,0,0,0
2中P,0,0,0
2強P,0,0,0
2弱K,0,0,0
2中K,0,0,0
2強K,0,0,0
J弱P,0,0,0
J中P,0,0,0
J強P,0,0,0
J弱K,0,0,0
J中K,0,0,0
J強K,0,0,0
J2中P,0,0,0
6強P,0,0,0
弱KTC,0,0,0
J中PTC,0,0,0
6or4中P,0,0,0
6or4中P(6中P追撃),0,0,0
6or4中P(4中P追撃),0,0,0
前投げ,0,0,0
前投げ(屈),0,0,0
後投げ,0,0,0
VT,0,0,0
VT(HOLD),0,0,0
4VT,0,0,0
4VT(HOLD),0,0,0
6VT,0,0,0
6VT(HOLD),0,0,0
VS,0,0,0
VS(HOLD),0,0,0
VR,0,0,0
シューティングピーチ 弱,0,0,0
シューティングピーチ 中,0,0,0
シューティングピーチ 強,0,0,0
シューティングピーチ EX,0,0,0
ウイングレスエアプレーン 弱,0,0,0
ウイングレスエアプレーン 中,0,0,0
ウイングレスエアプレーン 強,0,0,0
ウイングレスエアプレーン EX,0,0,0
レインボータイフーン 弱,0,0,0
レインボータイフーン 中,0,0,0
レインボータイフーン 強,0,0,0
レインボータイフーン EX,0,0,0
ブリムストーン 弱,0,0,0
ブリムストーン 中,0,0,0
ブリムストーン 強,0,0,0
ブリムストーン EX,0,0,0
CA,0,0,0
