name,damage,stun,meter
5弱P,0,0,0
5中P,0,0,0
5強P,0,0,0
5弱K,0,0,0
5中K,0,0,0
5強K,0,0,0
2弱P,0,0,0
2中P,0,0,0
2強P,0,0,0
2弱K,0,0,0
2中K,0,0,0
2強K,0,0,0
J弱P,0,0,0
J中P,0,0,0
J強P,0,0,0
J弱K,0,0,0
J中K,0,0,0
J強K,0,0,0
6中P,0,0,0
6強P,0,0,0
三角飛び,0,0,0
前投げ,0,0,0
後投げ,0,0,0
VT,0,0,0
VS,0,0,0
VS(弱K追撃),0,0,0
VS(中K追撃),0,0,0
VS(強K追撃),0,0,0
VS(EX追撃),0,0,0
2VS,0,0,0
2VS(追撃),0,0,0
VS(走り),0,0,0
VS(走り)(弱K追撃),0,0,0
VS(走り)(中K追撃),0,0,0
VS(走り)(強K追撃),0,0,0
VS(走り)(EX追撃),0,0,0
2VS(走り),0,0,0
2VS(走り)(追撃),0,0,0
VR,0,0,0
スピニング・ミキサー 弱,0,0,0
スピニング・ミキサー 弱(連打),0,0,0
スピニング・ミキサー 中,0,0,0
スピニング・ミキサー 中(連打),0,0,0
スピニング・ミキサー 強,0,0,0
スピニング・ミキサー 強(連打),0,0,0
スピニング・ミキサー EX,0,0,1
スピニング・ミキサー EX(連打),0,0,1
イーグル・スパイク 弱,0,0,0
イーグル・スパイク 中,0,0,0
イーグル・スパイク 強,0,0,0
イーグル・スパイク EX,0,0,1
空中イーグル・スパイク 弱,0,0,0
空中イーグル・スパイク 中,0,0,0
空中イーグル・スパイク 強,0,0,0
空中イーグル・スパイク EX,0,0,1
ワールウインド・ショット 弱,0,0,0
ワールウインド・ショット 中,0,0,0
ワールウインド・ショット 強,0,0,0
ワールウインド・ショット EX,0,0,1
ダッシュ・スピニング・ミキサー,0,0,0
ダッシュ・スピニング・ミキサー,0,0,0
ダッシュ・イーグル・スパイク,0,0,0
CA,0,0,3
