name,damage,stun,meter
5弱P,0,0,0
5中P,0,0,0
5強P,0,0,0
5弱K,0,0,0
5中K,0,0,0
5強K,0,0,0
2弱P,0,0,0
2中P,0,0,0
2強P,0,0,0
2弱K,0,0,0
2中K,0,0,0
2強K,0,0,0
J弱P,0,0,0
J中P,0,0,0
J強P,0,0,0
J弱K,0,0,0
J中K,0,0,0
J強K,0,0,0
J中PTC,0,0,0
6中K,0,0,0
前投げ,0,0,0
後投げ,0,0,0
VT,0,0,0
紅蓮拳,0,0,0
紅蓮崩掌,0,0,0
紅蓮殲破,0,0,0
紅蓮頂肘,0,0,0
紅蓮崩肘,0,0,0
紅蓮烈蹴,0,0,0
紅蓮楔,0,0,0
紅蓮虚歩,0,0,0
VS,0,0,0
VS(HOLD),0,0,0
VR,0,0,0
神月流歩行術 刹歩 弱,0,0,0
神月流歩行術 刹歩 中,0,0,0
神月流歩行術 刹歩 強,0,0,0
神月流歩行術 刹歩 EX,0,0,1
天狐,0,0,0
大蛇,0,0,0
EX天狐,0,0,1
EX大蛇,0,0,1
無尽脚 弱,0,0,0
無尽脚 中,0,0,0
無尽脚 強,0,0,0
無尽脚 EX,0,0,1
烈殲破 弱,0,0,0
烈殲破 中,0,0,0
烈殲破 強,0,0,0
殲破楔,0,0,0
殲破烈蹴,0,0,0
烈殲破 EX,0,0,1
CA,0,0,3
