name,damage,stun,meter
5弱P,0,0,0
5中P,0,0,0
5強P,0,0,0
5弱K,0,0,0
5中K,0,0,0
5強K,0,0,0
2弱P,0,0,0
2中P,0,0,0
2強P,0,0,0
2弱K,0,0,0
2中K,0,0,0
2強K,0,0,0
J弱P,0,0,0
J中P,0,0,0
J強P,0,0,0
J弱K,0,0,0
J中K,0,0,0
J強K,0,0,0
6強P,0,0,0
6強PTC,0,0,0
5中PTC,0,0,0
前投げ,0,0,0
後投げ,0,0,0
VS,0,0,0
6VS,0,0,0
6VS(HOLD),0,0,0
4VS,0,0,0
4VS(HOLD),0,0,0
4VS2,0,0,0
4VS2(HOLD),0,0,0
VT,0,0,0
VR,0,0,0
ボルトチャージ 弱P,0,0,0
ボルトチャージ 中P,0,0,0
スプリットリバー 弱,0,0,0
ロデオブレイク 弱,0,0,0
ボルトチャージ 強P,0,0,0
ボルトチャージ EX,0,0,1
スプリットリバー EX,0,0,0
ロデオブレイク EX,0,0,0
サンダークラップ,0,0,0
サンダークラップ Lv2,0,0,0
サンダークラップ Lv3,0,0,0
サンダークラップ EX,0,0,1
サンセットホイール 弱K,0,0,0
サンセットホイール 中K,0,0,0
サンセットホイール 強K,0,0,0
サンセットホイール EX,0,0,1
CA,0,0,3
