name,damage,stun,meter
5弱P,0,0,0
5中P,0,0,0
5強P,0,0,0
5弱K,0,0,0
5中K,0,0,0
5強K,0,0,0
2弱P,0,0,0
2中P,0,0,0
2強P,0,0,0
2弱K,0,0,0
2中K,0,0,0
2強K,0,0,0
J弱P,0,0,0
J中P,0,0,0
J強P,0,0,0
J弱K,0,0,0
J中K,0,0,0
J強K,0,0,0
ドリルキック 弱,0,0,0
ドリルキック 中,0,0,0
ドリルキック 強,0,0,0
4強P,0,0,0
4中P,0,0,0
4中K,0,0,0
1中K,0,0,0
前投げ,0,0,0
後投げ,0,0,0
VT,0,0,0
VS,0,0,0
VS(CANCEL),0,0,0
VS(空中),0,0,0
VR,0,0,0
ヨガファイア 弱,0,0,0
ヨガファイア 中,0,0,0
ヨガファイア 強,0,0,0
ヨガファイア EX,0,0,1
ヨガフレイム 弱,0,0,0
ヨガフレイム 中,0,0,0
ヨガフレイム 強,0,0,0
ヨガフレイム EX,0,0,1
ヨガゲイル 弱,0,0,0
ヨガゲイル 中,0,0,0
ヨガゲイル 強,0,0,0
ヨガゲイル EX,0,0,1
ヨガテレポート,0,0,0
空中ヨガテレポート,0,0,0
CA,0,0,3
CA(空中),0,0,3
