name,damage,stun,meter
5弱P,0,0,0
5中P,0,0,0
5強P,0,0,0
5弱K,0,0,0
5中K,0,0,0
5強K,0,0,0
2弱P,0,0,0
2中P,0,0,0
2強P,0,0,0
2弱K,0,0,0
2中K,0,0,0
2強K,0,0,0
J弱P,0,0,0
J中P,0,0,0
J強P,0,0,0
J弱K,0,0,0
J中K,0,0,0
J強K,0,0,0
3強P,0,0,0
潜伏臥,0,0,0
潜伏臥(HOLD),0,0,0
潜伏臥 派生,0,0,0
前投げ,0,0,0
後投げ,0,0,0
VT,0,0,0
VS,0,0,0
VR,0,0,0
二死球 弱,0,0,0
二死球 中,0,0,0
二死球 強,0,0,0
二死球 EX,0,0,1
双頭蛇 弱,0,0,0
双頭蛇 中,0,0,0
双頭蛇 強,0,0,0
双頭蛇 EX,0,0,1
両鞭打 弱,0,0,0
両鞭打 中,0,0,0
両鞭打 強,0,0,0
両鞭打 EX,0,0,1
弐間脚 弱,0,0,0
弐間脚 中,0,0,0
弐間脚 強,0,0,0
弐間脚 EX,0,0,1
CA,0,0,3
