name,damage,stun,meter
5弱P,0,0,0
5中P,0,0,0
5強P,0,0,0
5弱K,0,0,0
5中K,0,0,0
5強K,0,0,0
2弱P,0,0,0
2中P,0,0,0
2強P,0,0,0
2弱K,0,0,0
2中K,0,0,0
2強K,0,0,0
J弱P,0,0,0
J中P,0,0,0
J強P,0,0,0
J弱K,0,0,0
J中K,0,0,0
J強K,0,0,0
6中P,0,0,0
6強P,0,0,0
J2強P,0,0,0
前投げ,0,0,0
後投げ,0,0,0
VT,0,0,0
VT(VT中),0,0,0
VT(VT中)(HOLD),0,0,0
VS,0,0,0
VR,0,0,0
フラッシュチョップ 弱,0,0,0
フラッシュチョップ 中,0,0,0
フラッシュチョップ 強,0,0,0
フラッシュチョップ EX,0,0,1
スラッシュエルボー 弱,0,0,0
スラッシュエルボー 中,0,0,0
スラッシュエルボー 強,0,0,0
スラッシュエルボー EX,0,0,1
エアニースマッシュ 弱,0,0,0
エアニースマッシュ 中,0,0,0
エアニースマッシュ 強,0,0,0
エアニースマッシュ EX,0,0,1
パワーボム 弱,0,0,0
パワーボム 中,0,0,0
パワーボム 強,0,0,0
パワーボム EX,0,0,1
パワードロップ,0,0,0
パワードロップ EX,0,0,1
エアスタンピート 弱,0,0,0
エアスタンピート 中,0,0,0
エアスタンピート 強,0,0,0
エアスタンピート EX,0,0,1
ヘッドクラッシュ 弱,0,0,0
ヘッドクラッシュ 中,0,0,0
ヘッドクラッシュ 強,0,0,0
ヘッドクラッシュ EX,0,0,1
CA,0,0,3
