name,damage,stun,meter
5弱P,0,0,0
5中P,0,0,0
5強P,0,0,0
5弱K,0,0,0
5中K,0,0,0
5強K,0,0,0
2弱P,0,0,0
2中P,0,0,0
2強P,0,0,0
2弱K,0,0,0
2中K,0,0,0
2強K,0,0,0
J弱P,0,0,0
J中P,0,0,0
J強P,0,0,0
J弱K,0,0,0
J中K,0,0,0
J強K,0,0,0
3強K,0,0,0
4or6弱K,0,0,0
4or6中K,0,0,0
6強P,0,0,0
6強K,0,0,0
4強P,0,0,0
6中P,0,0,0
2弱KTC,0,0,0
2弱KTC2,0,0,0
中PTC,0,0,0
2中KTC,0,0,0
弱KTC,0,0,0
フォートレスムーブ,0,0,0
前投げ,0,0,0
後投げ,0,0,0
空前投げ,0,0,0
空後投げ,0,0,0
VT,0,0,0
ソニックブレイク,0,0,0
VS,0,0,0
VR,0,0,0
ソニックブーム 弱,0,0,0
ソニックブーム 中,0,0,0
ソニックブーム 強,0,0,0
ソニックブーム EX,0,0,1
サマーソルトキック 弱,0,0,0
サマーソルトキック 中,0,0,0
サマーソルトキック 強,0,0,0
サマーソルトキック EX,0,0,1
ソニッククロス 弱,0,0,0
ソニッククロス 中,0,0,0
ソニッククロス 強,0,0,0
ソニッククロス EX,0,0,1
CA,0,0,3
