name,damage,stun,meter
5弱P,0,0,0
5中P,0,0,0
5強P,0,0,0
5弱K,0,0,0
5中K,0,0,0
5強K,0,0,0
2弱P,0,0,0
2中P,0,0,0
2強P,0,0,0
2弱K,0,0,0
2中K,0,0,0
2強K,0,0,0
J弱P,0,0,0
J中P,0,0,0
J強P,0,0,0
J弱K,0,0,0
J中K,0,0,0
J強K,0,0,0
6中K,0,0,0
6強K,0,0,0
3中K,0,0,0
4中P,0,0,0
JKK,0,0,0
弱PTC(強P),0,0,0
弱PTC(弱K),0,0,0
弱KTC,0,0,0
弱KTC2,0,0,0
2中PTC,0,0,0
中PTC,0,0,0
J弱PTC,0,0,0
J強PTC,0,0,0
前投げ,0,0,0
後投げ,0,0,0
空投げ,0,0,0
VT,0,0,0
4VT,0,0,0
6VT,0,0,0
VT(VT中),0,0,0
4VT(VT中),0,0,0
6VT(VT中),0,0,0
VS,0,0,0
VS(HOLD),0,0,0
VR,0,0,0
霞駆け 弱,0,0,0
霞駆け 中,0,0,0
霞駆け 強,0,0,0
風斬り 弱,0,0,0
風斬り 中,0,0,0
風斬り 強,0,0,0
風斬り EX,0,0,1
雷打 弱,0,0,0
雷打 中,0,0,0
雷打 強,0,0,0
雷打 EX,0,0,1
苦無 弱,0,0,0
苦無 中,0,0,0
苦無 強,0,0,0
苦無 EX(弱中),0,0,1
苦無 EX(中強),0,0,1
苦無 EX(強弱),0,0,1
空中苦無 弱,0,0,0
空中苦無 中,0,0,0
空中苦無 強,0,0,0
空中苦無 EX,0,0,1
苦無一気投げ 弱,0,0,0
苦無一気投げ 中,0,0,0
苦無一気投げ 強,0,0,0
空中苦無一気投げ 弱,0,0,0
空中苦無一気投げ 中,0,0,0
空中苦無一気投げ 強,0,0,0
苦無補充,0,0,0
苦無補充(HOLD),0,0,0
苦無補充 EX,0,0,1
苦無補充 EX(HOLD),0,0,1
CA,0,0,3
