name,damage,stun,meter
5弱P,0,0,0
5中P,0,0,0
5強P,0,0,0
5弱K,0,0,0
5中K,0,0,0
5強K,0,0,0
2弱P,0,0,0
2中P,0,0,0
2強P,0,0,0
2弱K,0,0,0
2中K,0,0,0
2強K,0,0,0
J弱P,0,0,0
J中P,0,0,0
J強P,0,0,0
J弱K,0,0,0
J中K,0,0,0
J強K,0,0,0
中KTC,0,0,0
中KTC2,0,0,0
中KTC2(P),0,0,0
中KTC2(K),0,0,0
弱KTC,0,0,0
弱KTC2,0,0,0
2中KTC,0,0,0
前投げ,0,0,0
後投げ,0,0,0
VT,0,0,0
チャージングバッファロー,0,0,0
チャージングバッファロー2,0,0,0
チャージングバッファロー3,0,0,0
チャージングバッファロー4,0,0,0
チャージングバッファロー EX,0,0,1
チャージングバッファロー2 EX,0,0,1
バースティングバッファロー,0,0,0
バースティングバッファロー2,0,0,0
バースティングバッファロー3,0,0,0
バースティングバッファロー4,0,0,0
バースティングバッファロー EX,0,0,1
バースティングバッファロー2 EX,0,0,1
VS,0,0,0
VS(P),0,0,0
VS(K),0,0,0
VS(CANCEL),0,0,0
VS(CANCEL)(P),0,0,0
VS(CANCEL)(K),0,0,0
VR,0,0,0
スクリュースマッシュ 弱,0,0,0
スクリュースマッシュ 中,0,0,0
スクリュースマッシュ 強,0,0,0
スクリュースマッシュ EX,0,0,1
ダッシュストレート 弱,0,0,0
ダッシュストレート 中,0,0,0
ダッシュストレート 強,0,0,0
ダッシュストレート EX,0,0,1
ダッシュグランドブロー 弱,0,0,0
ダッシュグランドブロー 中,0,0,0
ダッシュグランドブロー 強,0,0,0
ダッシュグランドブロー EX,0,0,1
ターンパンチ 1,0,0,0
ターンパンチ 2,0,0,0
ターンパンチ 3,0,0,0
ターンパンチ 4,0,0,0
ターンパンチ 5,0,0,0
ターンパンチ 6,0,0,0
ターンパンチ 7,0,0,0
ターンパンチ 8,0,0,0
ターンパンチ 9,0,0,0
ターンパンチ 10,0,0,0
CA,0,0,3
