name,damage,stun,meter
5弱P,0,0,0
5中P,0,0,0
5強P,0,0,0
5弱K,0,0,0
5中K,0,0,0
5強K,0,0,0
2弱P,0,0,0
2中P,0,0,0
2強P,0,0,0
2弱K,0,0,0
2中K,0,0,0
2強K,0,0,0
J弱P,0,0,0
J中P,0,0,0
J強P,0,0,0
J弱K,0,0,0
J中K,0,0,0
J強K,0,0,0
6中K,0,0,0
中PTC,0,0,0
J中PTC,0,0,0
4強K,0,0,0
前投げ,0,0,0
後投げ,0,0,0
空投げ,0,0,0
VT,0,0,0
VS,0,0,0
VS(HOLD),0,0,0
VS(CANCEL),0,0,0
VS(HIT CANCEL),0,0,0
VS(DASH CANCEL),0,0,0
VS(BACKSTEP CANCEL),0,0,0
VR,0,0,0
風破連脚 弱,0,0,0
風破連脚 中,0,0,0
風破連脚 強,0,0,0
風破連脚 EX,0,0,1
風破連脚 弱(派生),0,0,0
風破連脚 中(派生),0,0,0
風破連脚 強(派生),0,0,0
天穿輪 弱,0,0,0
天穿輪 中,0,0,0
天穿輪 強,0,0,0
天穿輪 EX,0,0,1
両断殺 弱,0,0,0
両断殺 中,0,0,0
両断殺 強,0,0,0
両断殺 EX,0,0,1
CA,0,0,3
