name,damage,stun,meter
5弱P,30,70,0
5中P,60,100,0
5強P,90,150,0
5強P(HOLD),100,150,0
5弱K,40,70,0
5中K,60,100,0
5強K,90,150,0
5強K(1HIT),90,150,0
5強K(HOLD),100,150,0
5強K(HOLD)(1HIT),100,150,0
2弱P,30,70,0
2中P,60,100,0
2強P,90,150,0
2弱K,20,70,0
2中K,60,100,0
2強K,100,150,0
J弱P,40,70,0
J中P,70,100,0
J強P,90,150,0
J弱K,40,70,0
J中K,60,100,0
J強K,90,150,0
6中P,70,100,0
3強K,90,150,0
6強P,80,150,0
5弱PTC,50,80,0
6中PTC,124,235,0
前投げ,130,120,0
後投げ,130,200,0
VT,20,0,0
4VT,20,0,0
2VT,20,0,0
VT(CANCEL),20,0,0
4VT(CANCEL),20,0,0
2VT(CANCEL),20,0,0
VT(2),20,0,0
4VT(2),20,0,0
2VT(2),20,0,0
VS,0,0,0
VR,60,0,0
チャリオットタックル 弱,70,150,0
チャリオットタックル 中,80,150,0
チャリオットタックル 強,100,150,0
チャリオットタックル EX,150,200,1
バイオレンスニードロップ 弱 高,100,200,0
バイオレンスニードロップ 弱 低,100,200,0
バイオレンスニードロップ 中 高,100,200,0
バイオレンスニードロップ 中 低,100,200,0
バイオレンスニードロップ 強 高,100,200,0
バイオレンスニードロップ 強 低,100,200,0
バイオレンスニードロップ EX 高,150,200,1
バイオレンスニードロップ EX 低,150,200,1
デンジャラスヘッドバット 弱P,100,150,0
デンジャラスヘッドバット 中P,110,150,0
デンジャラスヘッドバット 強P,120,150,0
デンジャラスヘッドバット EX,80,80,1
メタリックスフィア 弱P,60,100,0
メタリックスフィア 弱P(HOLD),60,100,0
メタリックスフィア 弱P(HOLD),90,120,0
メタリックスフィア 中P,60,100,0
メタリックスフィア 中P(HOLD),60,100,0
メタリックスフィア 中P(HOLD),90,120,0
メタリックスフィア 強P,70,100,0
メタリックスフィア 強P(HOLD),70,100,0
メタリックスフィア 強P(HOLD),100,120,0
メタリックスフィア EX 弱中,90,120,1
メタリックスフィア EX 弱中(HOLD),90,120,1
メタリックスフィア EX 弱中(HOLD),120,150,1
メタリックスフィア EX 弱強,90,120,1
メタリックスフィア EX 弱強(HOLD),90,120,1
メタリックスフィア EX 弱強(HOLD),120,150,1
メタリックスフィア EX 中強,90,120,0
メタリックスフィア EX 中強(HOLD),90,120,1
メタリックスフィア EX 中強(HOLD),120,150,1
CA,340,0,3
