name,damage,stun,meter
5弱P,30,70,0
5中P,60,100,0
5強P,80,150,0
5弱K,30,70,0
5中K,60,100,0
5強K,80,120,0
2弱P,30,70,0
2中P,60,100,0
2強P,80,150,0
2弱K,20,70,0
2中K,50,100,0
2強K,90,150,0
J弱P,40,70,0
J中P,60,100,0
J強P,90,150,0
J弱K,40,70,0
J中K,60,100,0
J強K,90,150,0
6中P,70,100,0
6強P,60,100,0
4強P,90,200,0
2中K(前J中),60,100,0
5強KTC,50,70,0
5強PTC,60,80,0
前投げ,110,120,0
後投げ,120,170,0
VT,0,0,0
VS,0,0,0
VS(P),70,100,0
VS(K),60,100,0
VR,60,0,0
豪波動拳 弱,60,120,0
豪波動拳 中,60,120,0
豪波動拳 強,60,120,0
豪波動拳 EX,100,170,1
赤鴉豪焦破 弱,70,120,0
赤鴉豪焦破 中,80,120,0
赤鴉豪焦破 強,100,150,0
赤鴉豪焦破 EX,120,200,1
斬空波動拳 弱,0,0,0
斬空波動拳 中,0,0,0
斬空波動拳 強,0,0,0
斬空波動拳 EX,0,0,1
豪昇龍拳 弱,100,150,0
豪昇龍拳 中,110,150,0
豪昇龍拳 強,120,150,0
豪昇龍拳 EX,160,200,1
竜巻斬空脚 弱,50,80,0
竜巻斬空脚 中,70,120,0
竜巻斬空脚 強,100,200,0
竜巻斬空脚 EX,120,150,1
空中竜巻斬空脚 弱,0,0,0
空中竜巻斬空脚 中,0,0,0
空中竜巻斬空脚 強,0,0,0
空中竜巻斬空脚 EX,0,0,1
百鬼襲 弱,0,0,0
百鬼襲 中,0,0,0
百鬼襲 強,0,0,0
百鬼襲 EX,0,0,1
百鬼豪斬 弱,100,0,0
百鬼豪斬 中,100,0,0
百鬼豪斬 強,100,0,0
百鬼豪斬 EX,135,0,1
百鬼豪衝 弱,100,0,0
百鬼豪衝 中,100,0,0
百鬼豪衝 強,100,0,0
百鬼豪衝 EX,123,0,1
百鬼豪刃 弱,60,0,0
百鬼豪刃 中,60,0,0
百鬼豪刃 強,60,0,0
百鬼豪刃 EX,78,0,1
百鬼豪砕 弱,150,0,0
百鬼豪砕 中,150,0,0
百鬼豪砕 強,150,0,0
百鬼豪砕 EX,180,0,1
百鬼襲 EX,0,0,1
百鬼豪斬空,120,0,0
百鬼豪螺旋,150,0,0
阿修羅閃空,0,0,0
CA,320,0,3
CA2,400,0,3
