name,damage,stun,meter
5弱P,0,0,0
5中P,0,0,0
5強P,0,0,0
5強P Lv2,0,0,0
5強P Lv3,0,0,0
5弱K,0,0,0
5中K,0,0,0
5強K,0,0,0
2弱P,0,0,0
2中P,0,0,0
2強P,0,0,0
2強P Lv2,0,0,0
2強P Lv3,0,0,0
2弱K,0,0,0
2中K,0,0,0
2強K,0,0,0
J弱P,0,0,0
J中P,0,0,0
J強P,0,0,0
J弱K,0,0,0
J中K,0,0,0
J強K,0,0,0
6中P,0,0,0
6強P,0,0,0
4強P,0,0,0
弱PTC,0,0,0
2弱PTC,0,0,0
4強PTC,0,0,0
前投げ,0,0,0
後投げ,0,0,0
VT,0,0,0
VS,0,0,0
2VS,0,0,0
VR,0,0,0
アビゲイルパンチ 弱,0,0,0
アビゲイルパンチ 弱(連打),0,0,0
アビゲイルパンチ 中,0,0,0
アビゲイルパンチ 中(連打),0,0,0
アビゲイルパンチ 強,0,0,0
アビゲイルパンチ 強(連打),0,0,0
アビゲイルパンチ EX,0,0,0
アビゲイルパンチ EX(連打),0,0,1
ギガントフープ 弱,0,0,0
ギガントフープ 中,0,0,0
ギガントフープ 強,0,0,0
ギガントフープ EX,0,0,0
ギガントフープ EX(連打),0,0,1
アビゲイルスマッシュ 弱,0,0,0
アビゲイルスマッシュ 中,0,0,0
アビゲイルスマッシュ 強,0,0,0
アビゲイルスマッシュ EX,0,0,1
ナイトロチャージ,0,0,0
ナイトロチャージ(HOLD),0,0,0
ナイトロチャージ(HOLD MAX),0,0,0
ドロップバック,0,0,0
ダイナマイトパンチ,0,0,0
アバランシュプレス,0,0,0
ベイエリアサンライズ,0,0,0
ナイトロハンガビー・ハイ,0,0,0
ナイトロハンガビー・ロー,0,0,0
ナイトロチャージ EX,0,0,1
ダイナマイトパンチ EX,0,0,0
アバランシュプレス EX,0,0,0
ベイエリアサンライズ EX,0,0,0
ナイトロハンガビー EX,0,0,0
アビリフト,0,0,0
アビリフト Lv2,0,0,0
アビリフト Lv3,0,0,0
アビブラスター,0,0,0
アビブラスター Lv1,0,0,0
アビブラスター Lv2,0,0,0
アビブラスター Lv3,0,0,0
アビスクリュー,0,0,0
アビスクリュー Lv1,0,0,0
アビスクリュー Lv2,0,0,0
アビスクリュー Lv3,0,0,0
CA,0,0,3
