name,damage,stun,meter
5弱P,0,0,0
5弱P(素手),0,0,0
5中P,0,0,0
5中P(素手),0,0,0
5強P,0,0,0
5強P(素手),0,0,0
5弱K,0,0,0
5中K,0,0,0
5強K,0,0,0
5強K(素手),0,0,0
2弱P,0,0,0
2弱P(素手),0,0,0
2中P,0,0,0
2中P(素手),0,0,0
2強P,0,0,0
2強P(素手),0,0,0
2弱K,0,0,0
2中K,0,0,0
2強K,0,0,0
2強K(素手),0,0,0
J弱P,0,0,0
J弱P(素手),0,0,0
J中P,0,0,0
J中P(素手),0,0,0
J強P,0,0,0
J強P(素手),0,0,0
J弱K,0,0,0
J中K,0,0,0
J強K,0,0,0
J強K(素手),0,0,0
3中K,0,0,0
6中K,0,0,0
カーメンキック 弱,0,0,0
カーメンキック 中,0,0,0
カーメンキック 強,0,0,0
前投げ,0,0,0
後投げ,0,0,0
VT,0,0,0
VT(弱P),0,0,0
VT(中P),0,0,0
VT(強P),0,0,0
VT(弱K),0,0,0
VT(中K),0,0,0
VT(強K),0,0,0
VT(J弱P),0,0,0
VT(J中P),0,0,0
VT(J強P),0,0,0
VT(J弱K),0,0,0
VT(J中K),0,0,0
VT(J強K),0,0,0
VS,0,0,0
VS(素手),0,0,0
2VS,0,0,0
2VS(素手),0,0,0
VR,0,0,0
ソウルスフィア 弱,0,0,0
ソウルスフィア 中,0,0,0
ソウルスフィア 強,0,0,0
ソウルスフィア EX(弱中),0,0,1
ソウルスフィア EX(弱強),0,0,1
ソウルスフィア EX(中強),0,0,1
ソウルスフィア・アンク,0,0,0
太陽の守護者 弱,0,0,0
太陽の守護者 中,0,0,0
太陽の守護者 強,0,0,0
太陽の守護者 EX,0,0,1
CA,0,0,3
