name,damage,stun,meter
5弱P,0,0,0
5中P,0,0,0
5強P,0,0,0
5弱K,0,0,0
5中K,0,0,0
5強K,0,0,0
2弱P,0,0,0
2中P,0,0,0
2強P,0,0,0
2弱K,0,0,0
2中K,0,0,0
2強K,0,0,0
J弱P,0,0,0
J中P,0,0,0
J強P,0,0,0
J弱K,0,0,0
J中K,0,0,0
J強K,0,0,0
6強P,0,0,0
前投げ,0,0,0
後投げ,0,0,0
前投げ,0,0,0
後投げ,0,0,0
VT,0,0,0
韋駄天,0,0,0
武神白蛇掌,0,0,0
VS,0,0,0
6VS,0,0,0
VR,0,0,0
武神倶羅無・刻 弱,0,0,0
武神倶羅無・刻 中,0,0,0
武神倶羅無・刻 強,0,0,0
武神倶羅無・刻 EX,0,0,1
武神倶羅無・蛮 弱,0,0,0
武神倶羅無・蛮 中,0,0,0
武神倶羅無・蛮 強,0,0,0
武神倶羅無・蛮 EX,0,0,1
武神倶羅無・狄 弱,0,0,0
武神倶羅無・狄 中,0,0,0
武神倶羅無・狄 強,0,0,0
武神倶羅無・狄 EX,0,0,1
武神雀羅 弱,0,0,0
武神雀羅 中,0,0,0
武神雀羅 強,0,0,0
武神逆鱗肘,0,0,0
武神麒麟脚,0,0,0
武神天眼,0,0,0
武神雀羅 EX,0,0,1
武神逆鱗肘 EX,0,0,0
武神麒麟脚 EX,0,0,0
武神天眼 EX,0,0,0
宿命,0,0,0
CA,0,0,3
武神掌 弱,0,0,0
武神掌 中,0,0,0
武神掌 強,0,0,0
武神掌 EX,0,0,1
疾駆け,0,0,0
杜絶,0,0,0
葦刈,0,0,0
月光,0,0,0
疾駆け EX,0,0,1
杜絶 EX,0,0,0
葦刈 EX,0,0,0
月光 EX,0,0,0
崩山斗 弱,0,0,0
崩山斗 中,0,0,0
崩山斗 強,0,0,0
崩山斗 EX,0,0,1
武神三毒落とし 弱,0,0,0
武神三毒落とし 中,0,0,0
武神三毒落とし 強,0,0,0
武神三毒落とし EX,0,0,1
