name,damage,stun,meter
5弱P,0,0,0
5中P,0,0,0
5強P,0,0,0
5弱K,0,0,0
5中K,0,0,0
5強K,0,0,0
2弱P,0,0,0
2中P,0,0,0
2強P,0,0,0
2弱K,0,0,0
2中K,0,0,0
2強K,0,0,0
J弱P,0,0,0
J中P,0,0,0
J強P,0,0,0
J弱K,0,0,0
J中K,0,0,0
J強K,0,0,0
6弱K,0,0,0
6中K,0,0,0
6中P,0,0,0
6強K,0,0,0
6強P,0,0,0
4中K,0,0,0
弱PTC,0,0,0
弱KTC,0,0,0
中PTC,0,0,0
中PTC2,0,0,0
2中PTC,0,0,0
中KTC,0,0,0
中KTC(中K締め),0,0,0
中KTC(中P+中K締め),0,0,0
前投げ,0,0,0
後投げ,0,0,0
空投げ,0,0,0
VT,0,0,0
4VT,0,0,0
6VT,0,0,0
VS,0,0,0
VS(近),0,0,0
VR,0,0,0
ソニックブーム 弱,0,0,0
ソニックブーム 中,0,0,0
ソニックブーム 強,0,0,0
ソニックブーム EX,0,0,1
ソニックブーム EX(追加),0,0,0
ソニックサイス 弱,0,0,0
ソニックサイス 中,0,0,0
ソニックサイス 強,0,0,0
ソニックサイス EX,0,0,1
ムーンサルトスラッシュ 弱,0,0,0
ムーンサルトスラッシュ 中,0,0,0
ムーンサルトスラッシュ 強,0,0,0
ムーンサルトスラッシュ EX,0,0,1
トラジディアサルト 弱,0,0,0
トラジディアサルト 中,0,0,0
トラジディアサルト 強,0,0,0
トラジディアサルト EX,0,0,1
CA,0,0,3
