name,damage,stun,meter
5弱P,0,0,0
5中P,0,0,0
5強P,0,0,0
5弱K,0,0,0
5中K,0,0,0
5強K,0,0,0
しゃがみ弱P,0,0,0
しゃがみ中P,0,0,0
しゃがみ強P,0,0,0
しゃがみ弱K,0,0,0
しゃがみ中K,0,0,0
しゃがみ強K,0,0,0
J弱P,0,0,0
J中P,0,0,0
J強P,0,0,0
J弱K,0,0,0
J中K,0,0,0
J強K,0,0,0
6強P,0,0,0
3強P,0,0,0
6強K,0,0,0
2強PTC,0,0,0
前投げ,0,0,0
後投げ,0,0,0
VS,0,0,0
4VS,0,0,0
2VS,0,0,0
VT,0,0,0
VT(CANCEL),0,0,0
VR,0,0,0
ブルヘッド 弱P,0,0,0
ブルヘッド 中P,0,0,0
ブルヘッド 強P,0,0,0
ブルヘッド EX,0,0,1
ブルホーン,0,0,0
ブルホーン EX,0,0,1
キリングヘッド 弱P,0,0,0
キリングヘッド 中P,0,0,0
キリングヘッド 強P,0,0,0
キリングヘッド EX,0,0,1
ハンギングチェーン 弱,0,0,0
ハンギングチェーン 中,0,0,0
ハンギングチェーン 強,0,0,0
ハンギングチェーン EX,0,0,1
ハンギングチェーン(HOLD)(P),0,0,0
ブルリベンジャー 弱K,0,0,0
ブルリベンジャー 中K,0,0,0
ブルリベンジャー 強K,0,0,0
ブルリベンジャー EX,0,0,1
CA,0,0,3
ブルヘッド(VT) 弱P,0,0,0
ブルヘッド(VT) 中P,0,0,0
ブルヘッド(VT) 強P,0,0,0
ブルヘッド(VT) EX,0,0,1
ブルホーン(VT),0,0,0
ブルホーン(VT) EX,0,0,1
キリングヘッド(VT) 弱P,0,0,0
キリングヘッド(VT) 中P,0,0,0
キリングヘッド(VT) 強P,0,0,0
キリングヘッド(VT) EX,0,0,1
ハンギングチェーン(VT) 弱,0,0,0
ハンギングチェーン(VT) 中,0,0,0
ハンギングチェーン(VT) 強,0,0,0
ハンギングチェーン(VT) EX,0,0,1
ハンギングチェーン(VT)(HOLD)(P),0,0,0
ブルリベンジャー(VT) 弱K,0,0,0
ブルリベンジャー(VT) 中K,0,0,0
ブルリベンジャー(VT) 強K,0,0,0
ブルリベンジャー(VT) EX,0,0,1
CA(VT),0,0,3
