name,damage,stun,meter
5弱P,30,70,0
5中P,60,100,0
5強P,80,150,0
5弱K,30,70,0
5中K,60,100,0
5強K,80,150,0
2弱P,30,70,0
2中P,60,100,0
2強P,90,150,0
2弱K,20,70,0
2中K,50,100,0
2強K,90,150,0
J弱P,40,70,0
J中P,70,100,0
J強P,90,150,0
J弱K,40,70,0
J中K,60,100,0
J強K,90,150,0
6強K,80,150,0
6強K(HOLD),0,0,0
4中K,60,100,0
4中P,50,80,0
4中PTC,50,80,0
5中KTC,50,100,0
前投げ,100,120,0
後投げ,130,200,0
VT,0,0,0
VS,0,0,0
VS(HOLD),70,150,0
VR,40,0,0
波動拳 弱,50,100,0
波動拳 中,50,100,0
波動拳 強,50,100,0
波動拳 EX,90,150,1
昇龍拳 弱,100,150,0
昇龍拳 中,120,150,0
昇龍拳 強,130,150,0
昇龍拳 EX,150,200,1
竜巻旋風脚 弱,70,100,0
竜巻旋風脚 中,80,150,0
竜巻旋風脚 強,140,200,0
竜巻旋風脚 EX,160,200,1
空中竜巻旋風脚 弱,80,100,0
空中竜巻旋風脚 中,80,100,0
空中竜巻旋風脚 強,80,100,0
空中竜巻旋風脚 EX,70,100,0
CA,340,0,3
VT2(発動),0,0,0
VT2,0,0,0
