name,damage,stun,meter
5弱P,30,70,0
5中P,60,100,0
5強P,80,150,0
5弱K,40,70,0
5中K,60,100,0
5強K,90,150,0
2弱P,20,70,0
2中P,60,100,0
2強P,80,150,0
2弱K,20,70,0
2中K,50,100,0
2強K,90,150,0
J弱P,40,70,0
J中P,60,100,0
J強P,90,150,0
J弱K,40,70,0
J中K,60,100,0
J強K,90,150,0
3強P,80,100,0
3強P(HOLD),100,150,0
2強K(前J中),80,100,0
5中KTC1,60,100,0
5中KTC2,40,50,0
前投げ,100,120,0
後投げ,100,120,0
VT,0,0,0
VS,50,100,0
VR,60,0,0
円盤の導き 弱,80,150,0
円盤の導き 中,100,150,0
円盤の導き 強,120,150,0
円盤の導き EX,150,200,1
猛る灯火 弱,100,150,0
猛る灯火 中,110,150,0
猛る灯火 強,120,150,0
猛る灯火 EX,150,200,1
大地の仮面 弱,130,200,0
大地の仮面 中,140,200,0
大地の仮面 強,150,200,0
大地の仮面 EX,60,50,1
勇猛なる決起 弱,50,100,0
勇猛なる決起 中,60,100,0
勇猛なる決起 強,80,150,0
勇猛なる決起 EX,120,200,1
CA,330,0,3
CA2,370,0,3
