name,damage,stun,meter
5弱P,0,0,0
5弱P(爪無),0,0,0
5中P,0,0,0
5中P(爪無),0,0,0
5強P,0,0,0
5強P(爪無),0,0,0
5弱K,0,0,0
5中K,0,0,0
5強K,0,0,0
2弱P,0,0,0
2弱P(爪無),0,0,0
2中P,0,0,0
2中P(爪無),0,0,0
2強P,0,0,0
2強P(爪無),0,0,0
2弱K,0,0,0
2中K,0,0,0
2強K,0,0,0
J弱P,0,0,0
J弱P(爪無),0,0,0
J中P,0,0,0
J中P(爪無),0,0,0
J強P,0,0,0
J強P(爪無),0,0,0
J弱K,0,0,0
J中K,0,0,0
J強K,0,0,0
6中K,0,0,0
三角飛び,0,0,0
6強P,0,0,0
強PTC,0,0,0
強PTC2,0,0,0
強PTC2(HOLD),0,0,0
中PTC,0,0,0
中PTC2,0,0,0
中PTC2(HOLD),0,0,0
前投げ,0,0,0
後投げ,0,0,0
空投げ,0,0,0
VT,0,0,0
2VT,0,0,0
前JVT,0,0,0
VS,0,0,0
VS(HOLD),0,0,0
VR(P),0,0,0
VR(K),0,0,0
フライング バルセロナアタック 弱,0,0,0
フライング バルセロナアタック 中,0,0,0
フライング バルセロナアタック 強,0,0,0
フライング バルセロナアタック EX,0,0,1
フライング バルセロナアタック(追撃),0,0,0
イズナドロップ,0,0,0
イズナドロップ EX,0,0,1
クリムゾンテラー 弱,0,0,0
クリムゾンテラー 中,0,0,0
クリムゾンテラー 強,0,0,0
クリムゾンテラー EX,0,0,1
スイッチングクロー,0,0,0
オーロラスピンエッジ 弱,0,0,0
オーロラスピンエッジ 中,0,0,0
オーロラスピンエッジ 強,0,0,0
オーロラスピンエッジ EX,0,0,1
グランドイズナドロップ 弱,0,0,0
グランドイズナドロップ 中,0,0,0
グランドイズナドロップ 強,0,0,0
グランドイズナドロップ EX,0,0,1
CA,0,0,3
